disadvantage,description,cost,self_control
Absent-Mindedness,"You have trouble focusing on anything not of immediate interest. You have -5 on all IQ and IQ-based skill rolls, save those for the task you are currently concentrating on. If no engaging task or topic presents itself, your attention will drift to more interesting matters in five minutes, and you will ignore your immediate surroundings until something catches your attention and brings you back. Once adrift in your own thoughts, you must roll against Perception-5 in order to notice any event short of personal physical injury.

You may attempt to rivet your attention on a boring topic through sheer strength of will. To do so, make a Will-5 roll once every five minutes. “Boring topics” include small talk, repetitive manual tasks, guard duty, driving on an empty highway . . . 

Absent-minded individuals also tend to forget trivial tasks (like paying the bills) and items (like car keys and checkbooks). Whenever it becomes important that you have performed such a task or brought such an item, the GM should call for a roll against IQ-2. On a failure, this detail slipped your attention.

Example: An absent-minded detective is in a shootout. He was involved in gunplay earlier in the day, in which he fired four rounds, so the GM calls for an IQ-2 roll. The detective fails the roll, and discovers too late that he forgot to reload his weapon, so his revolver has only two bullets left!

This is the classic disadvantage for eccentric geniuses.",-15,
Addiction,"You are addicted to a drug, which you must use daily or suffer withdrawal. The value of this disadvantage depends on the cost, effects, and legality of the drug:

Cost (per day)
Cheap (up to 0.1% of average starting wealth): -5 points.

Expensive (up to 0.5% of average starting wealth): -10 points.

Very expensive (more than 0.5% of average starting wealth): -20 points.

Effects
Incapacitating or hallucinogenic: -10 points.

Highly addictive (-5 on withdrawal roll): -5 points.

Totally addictive (-10 on withdrawal roll): -10 points.

Legality
Illegal: +0 points.

Legal: +5 points.

Examples: Tobacco is cheap, highly addictive, and legal; a chain-smoker has a -5-point Addiction. Heroin is very expensive, incapacitating, totally addictive, and illegal; a heroin addict has a -40-point Addiction.

Non-Chemical Addictions: You can take Addiction to an activity instead of a drug – for instance, telepathic contact or spending time in virtual reality. If this costs money, price the Addiction based on its daily cost. If it is free (e.g., telepathic contact), treat it as “Cheap” if it you can do it almost anywhere (telepathic contact with anyone) or as “Expensive” if restrictive conditions apply (telepathic contact with one specific person). Such Addictions almost always cause psychological dependency (see Withdrawal, below).

Effects of Drugs
A stimulating drug leaves you feeling energized . . . until it wears off. Then you are depressed and irritable. An incapacitating drug renders you unconscious (or just blissfully, uselessly drowsy) for about two hours. A hallucinogenic drug renders you useless for work or combat, though you might be active and talkative. Some drugs (e.g., tobacco) have none of these effects, while others have unique effects. Side effects are also possible. For detailed rules, see Addictive Drugs (p. 440).

Withdrawal
Sometimes, voluntarily or otherwise, you must try to give up your Addiction. Addiction to a drug that causes psychological dependency is a mental disadvantage; withdrawal from such a drug requires a series of Will rolls, and may result in mental problems. Addiction to a drug that induces physiological dependency is a physical disadvantage; withdrawal is a function of your HT, and may cause physical injury. For details, see Drug Withdrawal (p. 440). Should you successfully withdraw from an Addiction, you must immediately buy off this disadvantage.

Minor Addictions
For an Addiction worth only -5 points, the GM may rule that the expense, stigma, and detrimental long-term effects of use are the whole of the disadvantage, and waive the usual withdrawal rules. This is appropriate for such drugs as tobacco and caffeine. If forced to go without, you must make a Will or HT roll as usual, but the only effects on a failure are general anxiety, irritability, or restlessness. This manifests as a temporary -1 to DX, IQ, self-control rolls, or reaction rolls (GM’s choice) – not as insanity or injury. Successive failures prolong the duration of the effects; they do not increase the size of the penalty. If you can make 14 successful rolls in succession, you must buy off your Addiction.

It is also possible to create a 0- point Addiction using these rules. Such Addictions are always Minor Addictions, and you may take them as -1-point quirks (see Quirks, p. 162).
",,
Alcoholism,"You are an alcohol addict. Alcoholism uses the Addiction rules (above). It is cheap, incapacitating, and usually legal, so it would normally be a -10-point Addiction. But it is also insidious; therefore, it is worth -15 points – or -20 points if it is illegal.

Most of the time, you may confine your drinking to the evenings, and therefore function normally (for game purposes). However, any time you are in the presence of alcohol, you must roll vs. Will to avoid partaking. A failed roll means you go on a “binge” lasting 2d hours, followed by a hangover; see Drinking and Intoxication (p. 439). Alcoholics on a binge are characterized by sudden mood swings – from extreme friendliness to extreme hostility – and may attack friends, talk too freely, or make other mistakes.

The other drawback of Alcoholism is that it is hard to get rid of. Should you manage to “withdraw,” you no longer need to drink daily . . . but you must still make a Will+4 roll whenever you are in the presence of alcohol. A failed roll does not reinstate the addiction, but does set off a binge. (Three binges in a week will reinstate the addiction.) Thus, there is no normal way to “buy off” this disadvantage.

Continued Alcoholism will steal your abilities. You must roll yearly against HT+2 until you withdraw. Failure means you lose a level from one of your four basic attributes – roll randomly to determine which.
",,
Amnesia,"You’ve lost your memory. You can’t remember any of your past life, including your name. This disadvantage comes in two levels:

Partial Amnesia: You, the player, can see your character sheet, but the GM may reserve up to -30 points of your disadvantage allotment for “secret” disadvantages of his choosing. You know that you can use certain skills, but have no idea where you learned them. You are likely to have enemies – and possibly friends – that you can’t remember. If you turn yourself in to the police, they can perform their standard ID checks . . . but you might turn out to be a wanted criminal. Even if you aren’t, finding out your name won’t restore your memory! -10 points.

Total Amnesia: The only traits you can specify during character creation are those you could see in a mirror. The GM assigns everything else – and holds onto your full character sheet until your memory returns! You have no idea of your full abilities. Since the GM knows your quirks and mental traits, and you don’t, he will sometimes overrule your statements about what you’re doing. He will also make all skill rolls for you, because you have no idea what you can do until you try it! Your IQ-based skill rolls are at -2 unless the GM feels that memory would have no effect at all on the task at hand. -25 points.

You can only buy off Amnesia if there is some reason why you might recover your memory; e.g., meeting an old friend, reliving some fateful event, or the ever-popular blow to the head. In most cases, the cure will be related to the cause of the memory loss. Particularly twisted GMs might enjoy making the cause in question some form of brainwashing. In this case, one of the hidden disadvantages will probably be an Enemy with sufficient resources to have arranged the brainwashing in the first place.",,
Apppearance,"See Appearance Tab



Appearance is rated in levels. Most people have “Average” appearance, for 0 points. Good looks give a reaction bonus; this is an advantage and costs points. Unappealing looks give a reaction penalty; this is a disadvantage, and gives you back points. These reaction modifiers only affect those who can see you! Those who cannot see you might have to make a new reaction roll upon first meeting you in person (GM’s option). 

Reaction modifiers due to appearance only affect members of your own race, a very similar race, or a dissimilar race that finds your race attractive (for whatever reason). In all cases, the GM’s word is final; humans are “very similar” to elves, but bug-eyed monsters are unlikely to care about a human’s appearance except in a silly campaign. 

Horrific: You are indescribably monstrous or unspeakably foul, and cannot interact with normal mortals. This gives -6 on reaction rolls. The GM may decide that this trait is supernatural and unavailable to normal characters. -24 points. 

Monstrous: You are hideous and clearly unnatural. Most people react to you as a monster rather than a sapient being. This gives -5 on reaction rolls. Again, this trait might not be appropriate for normal characters. -20 points. 

Hideous: You have any sort of disgusting looks you can come up with: a severe skin disease, wall-eye . . . preferably several things at once. This gives -4 on reaction rolls. -16 points. 

Ugly: As above, but not so bad – maybe only stringy hair and snaggle teeth. This gives -2 on reaction rolls. -8 points. 

Unattractive: You look vaguely unappealing, but it’s nothing anyone can put a finger on. This gives -1 on reaction rolls. -4 points. 

Average: Your appearance gives you no reaction modifiers either way; you can blend easily into a crowd. A viewer’s impression of your looks depends on your behavior. If you smile and act friendly, you will be remembered as pleasant-looking; if you frown and mutter, you will be remembered as unattractive. 0 points. 

Attractive: You don’t enter beauty contests, but are definitely good-looking. This gives +1 on reaction rolls. 4 points. 

Handsome (or Beautiful): You could enter beauty contests. This gives +4 on reaction rolls made by those attracted to members of your sex, +2 from everyone else. 12 points. 

Very Handsome (or Very Beautiful): You could win beauty contests – regularly. This gives +6 on reaction rolls made by those attracted to members of your sex, +2 from others. Exception: Members of the same sex with reason to dislike you (more than -4 in reaction penalties, regardless of bonuses) resent your good looks, and react at -2 instead. As well, talent scouts, friendly drunks, slave traders, and other nuisances are liable to become a problem for you. 16 points. 

Transcendent: You are an “ideal specimen.” This gives +8 (!) on reaction rolls made by those attracted to members of your sex, +2 from others, and all the troublesome side effects of Very Handsome. The GM is free to reserve this trait for angels, deities, and the like. Such entities frequently possess Charisma (p. 41) or Terror (p. 93) as well. 20 points. 

Special Options 
The following options are available for above-average appearance, and do not affect point costs: 

Androgynous: If your appearance is Handsome (Beautiful) or better, you may specify that your looks appeal equally to both sexes. You get a flat reaction modifier instead of a sexdependent bonus: +3 for Handsome, +4 for Very Handsome, or +5 for Transcendent. 

Impressive: If you are Attractive or better, you can specify that you have exceptional physical presence that doesn’t manifest as sexual magnetism. This is typical of tigers and aged royalty. If your appearance is Handsome (Beautiful) or above, use the “flat” reaction bonuses given for Androgynous. 

Special Enhancements 
Universal: Your reaction modifier applies to everyone who can see you, regardless of race. If your appearance is Handsome (Beautiful) or above, use the “flat” reaction bonuses given for Androgynous. This modifier is most common for Hideous or worse monsters and for Attractive or better gods, faeries, and the like. The GM may deem it off-limits to normal mortals. +25%. 

Special Limitations 
Off-the-Shelf Looks: You can apply this to any appearance better than Attractive. Through ultra-tech or magic, your looks are a variation on a standard type or famous person. You’re as beautiful as ever, but you get half the usual reaction bonus with people from your own culture, because they’ve seen it all before. (“Oh, look! Another Mr. Universe 2003!”) -50%.
",,
Bad Back,"For whatever reason, your spinal column is in bad shape. During strenuous physical activity, you may “throw your back” and suffer crippling pain or further injury. Whenever you make a ST roll, and whenever you roll 17 or 18 on an attack or defense roll in melee combat, or on a roll for an “athletic” skill such as Acrobatics, make a HT roll as well.

Modifiers: Any modifiers to the success roll for the activity that triggered the HT roll. For a long task that allows the luxury of planning, you can try to minimize the strain on your back; a successful IQ-2 or Physiology+4 roll gives +2 on the HT roll.

On a failure, you throw your back. Consequences depend on the severity of your case:

Mild: You are at -3 DX until you rest or someone helps you; a First Aid- 2 roll will reset your back. You are also at -3 IQ, but during the next second only (for your next turn, in combat). On a critical failure, you are at -5 DX and must make a Will roll to perform any physical action. -15 points.

Severe: The HT roll is at -2. On a failure, DX and IQ are both at -4 until you receive rest or help; you are in constant agony. On a critical failure, you take 1d-3 damage and are at -6 DX and -4 IQ. -25 points.

High Pain Threshold (p. 59) halves all DX and IQ penalties (drop fractions), but does not eliminate them completely.
",,
Bad Grip,"You have a penalty on tasks that require a firm grip. Each level (maximum three levels) gives -2 with such tasks. This penalty is overall – not per hand. Affected tasks include melee weapon use, climbing, catching things, and anything else the GM deems requires a firm grip (e.g., an Acrobatics roll to catch a trapeze).

This disadvantage is mutually exclusive with No Fine Manipulators (p. 145).",-5,
Bad Sight,"You have poor vision. This applies to all your visual senses: regular vision, Infravision, Ultravision, etc. You may be nearsighted or farsighted – your choice.

Nearsighted: You cannot read small print, computer displays, etc., more than a foot away, or road signs, etc., at more than about 10 yards. You are at -6 to Vision rolls to spot items more than one yard away. When making a melee attack, you are at -2 to skill. When making a ranged attack, double the actual distance to the target when calculating the range modifier. -25 points.

Farsighted: You cannot read text except with great difficulty (triple normal time). You are at -6 to Vision rolls to spot items within one yard, and you have -3 to DX on any close manual task, including close combat. -25 points.

Special Limitations
Mitigator: At TL5+, you can acquire glasses that compensate totally for Bad Sight while they are worn. At TL7+, contact lenses are available. In both cases, remember that accidents can happen . . . and that enemies can deprive you of these items. If you are starting at a tech level in which vision can be corrected, you must take this limitation. -60%.",-25,
Bad Smell,"You exude an appalling odor that you cannot remove, such as the stench of death and decay. This causes a -2 reaction from most people and animals (although pests or carrion-eating scavengers might be unusually attracted to you!). You can mask the smell with perfumes, but the overpowering amount needed results in the same reaction penalty.",-10,
Bad Temper,"You are not in full control of your emotions. Make a self-control roll in any stressful situation. If you fail, you lose your temper and must insult, attack, or otherwise act against the cause of the stress.",-10,TRUE
