skill,tech_level_required,specialization_required,description,defaults,difficulty,attribute,modifiers
Accounting,,,"This is the ability to keep books of account, to examine the condition of a business, etc. A successful Accounting roll (requires at least two hours of study, and possibly months to audit a large corporation) can tell you whether financial records are correct, and possibly reveal evidence of forgery, tampering, and similar criminal activity.","IQ-6, Finance-4, Mathematics (Statistics)-5, or Merchant-5",Hard,Intelligence,The time modifiers under Time Spent (p. 346) often apply; the Talents (p. 89) of Business Acumen and Mathematical Ability both provide a bonus.
Acrobatics,,,"This is the ability to perform gymnastic stunts, roll, take falls, etc. This can be handy on an adventure, as tightrope walking, human pyramids, and trapeze swinging all have useful applications. Each trick requires a separate skill roll, at whatever penalties the GM sees fit. If you are performing stunts on a moving vehicle or mount, roll against the lower of Acrobatics and the appropriate Driving or Riding skill. 

You may substitute an Acrobatics roll for a DX roll in any attempt to jump, roll, avoid falling down, etc. As well, you may attempt an Acrobatic Dodge in combat – a jump or roll that avoids an attack in a flashy way (see Acrobatic Dodge, p. 375). Finally, a successful Acrobatics roll will reduce the effective distance of any fall by five yards (see Falling, p. 431).

Acrobatics, Aerobatics, and Aquabatics default to one another at -4. Add +1 to these three skills if you have Perfect Balance (p. 74).","DX-6, Aerobatics-4, Aquabatics-4",Hard,Dexterity,
Acting,,,"This is the ability to counterfeit moods, emotions, and voices, and to lie convincingly over a period of time. A successful Acting roll lets you pretend to feel something that you do not. The GM may also require an Acting roll whenever you try to fool someone, play dead in combat, etc. 

Impersonation is a special type of acting. To impersonate someone, you must first successfully disguise yourself (see Disguise, p. 187) – unless your victims cannot see you! 

Note that Acting is not the same Fast-Talk (the art of the “quick con”) or Performance (the skill of screen and stage acting).","IQ-5, Performance-2, or Public Speaking-5",Average,Intelligence,"+1 for every point of IQ you have over the person you are trying to fool (or the smartest one in the group), or -1 for every point of difference if your victim is smarter than you; -3 for Low Empathy (p. 142); -1 to -4 for Shyness (p. 154); -5 for Truthfulness (p. 159), but only if you are trying to deceive someone. For impersonation only: -5 if you are not well acquainted with your subject; -5 if those you wish to fool are acquaintances of the subject (-10 for close acquaintances)."
Administration,,,"This is the skill of running a large organization. It is often a prerequisite for high Rank (p. 29). A successful Administration roll gives you a +2 reaction bonus when dealing with a bureaucrat, and allows you to predict the best way to go about dealing with a bureaucracy.",IQ-5 or Merchant-3,Average,Intelligence,
Aerobatics,,,"The ability to execute tight turns, loops, power dives, etc. in flight. You must be able to fly to learn this skill – although how you fly (magic, wings, jet pack, etc.) is irrelevant. Natural fliers might find flight to be as effortless as humans find walking, but they must still learn Aerobatics in order to engage in complex acrobatics. Add +2 to skill if you have 3D Spatial Sense (p. 34).

Acrobatics, Aerobatics, and Aquabatics default to one another at -4. Add +1 to these three skills if you have Perfect Balance (p. 74).
","DX-6, Acrobatics-4, Aquabatics-4",Hard,Dexterity,
Airshipman,TRUE,,"The skill of handling ballast, gas valves, mooring lines, etc. on a blimp, zeppelin, or other large airship. 

This is the ability to serve as crew aboard a specific type of large vehicle. It includes familiarity with “shipboard life,” knowledge of safety measures, and training in damage control (the use of emergency equipment to control flooding, fight fires, patch the hull, and so forth). Make a skill roll for basic map or chart reading, practical meteorology, or to recall laws and regulations that pertain to your vehicle. 

This skill also lets you steer the vessel. It is easier than Piloting, Submarine, and similar skills because it only includes knowledge of how to steer. Specialists handle such activities as plotting courses and operating sensors. These experts report to the captain, who in turn tells you how to maneuver. Make a DX-based skill roll whenever you take the helm – but note that your effective skill cannot exceed your captain’s Shiphandling skill (p. 220). 

The average Airshipman skill of an entire crew can be used as a measure of overall crew quality. The GM rolls against average skill whenever the vehicle arrives or departs, in unfavorable conditions, or in battle. Failure and critical failure results depend on the circumstances. ",IQ-4,Easy,Intelligence,
Alchemy,TRUE,,"This is the study of magical transformations and transmutations. In a magical game world, an alchemist would be able to identify concoctions with magical effects (“elixirs”), such as love potions and healing unguents, and prepare them from suitable ingredients. This is a mechanical process, using the mana inherent in certain things; therefore, those without Magery can learn and use Alchemy, and Magery confers no benefit.",None.,Very Hard,Intelligence,
Animal Handling,,TRUE,"This is the ability to train and work with animals. You must specialize in a category of animals – the more intelligent the animals, the narrower the category. Examples of interest to adventurers: Big Cats (jaguars, lions, tigers, etc.), Dogs, Equines (horses and donkeys), and Raptors (eagles, falcons, and hawks). The default between specialties is -2 within the same order (e.g., Dogs to Big Cats), -4 across orders (e.g., Dogs to Equines), and -6 for larger differences (e.g., Dogs to Raptors). 

To train an animal, make an Animal Handling roll once per day of training. A failed roll means the animal learned nothing; a badly failed roll means you are attacked. The time it takes to train an animal depends on the beast’s intelligence and tractability (see Chapter 16). 

When working with a trained animal, roll against skill for each task you set the animal. This roll is at -5 if the animal is not familiar with you, -5 if the circumstances are stressful to the animal, and -3 or more if the task is a complex one. To put on an entertaining circus act, snake-charming show, etc., you must make a separate Performance roll! 

This skill can also (sometimes) be used to quiet a wild, dangerous, or untrained animal. This roll is at -5 if the creature is wild or very frightened, or -10 if it is a man-eater or man-killer. 

Finally, this skill gives an advantage in combat against animals within your specialty. If you have Animal Handling at level 15, an animal’s attack and defense rolls are at -1 against you, because you can predict its behavior. At skill 20, the animal’s rolls are at -2.",IQ-5,Average,Intelligence,
Anthropology,,TRUE,"This is the science of evolution and culture. An anthropologist is knowledgeable in the ways of primitive (and not-so-primitive) societies. An Anthropology roll might explain, or even predict, unusual rituals and folk customs. This skill requires specialization by species (if left unspecified, assume the anthropologist’s own species). Specialties usually default to one another at -2 to -5, although there may be no default for completely alien species.","IQ-6, Paleontology (Paleoanthropology)-2, or Sociology-3",Hard,Intelligence,
Aquabatics,,,"The ability to engage in underwater acrobatics. Prerequisites: Swimming, or the Amphibious advantage (p. 40) or the Aquatic disadvantage (p. 145). 

Acrobatics, Aerobatics, and Aquabatics default to one another at -4. Add +1 to these three skills if you have Perfect Balance (p. 74).","DX-6, Acrobatics-4, Aerobatics-4",Hard,Dexterity,
