spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Purify Air,Area,"Removes all impurities from the air in its area of effect. It is often used to neutralize the effects of poisonous gas or vapors. Note that a room full of smoke may safely be purified one section at a time – but truly deadly vapors must all be removed at once, or some may escape.

This spell can also turn old “stale” air into fresh breathable air. The air in a one-yard radius, if not renewed from the outside, lasts 45 minutes for one person at rest, or less for multiple persons or someone violently exercising (GM’s discretion).",Instantly. Purification is permanent.,1,,,,Hard,Air,"Staff, wand, or jewelry.
Energy cost to create: 50."
Seek Air,Information,"Tells the caster the direction and approximate distance of the nearest significant amount of air. Use the long-distance modifiers (p. 14). In settings where air is understood as a combination of gases, the caster may also seek out a specific gas or combination of gases, rather than ordinary air. Any known source of air may be excluded if the caster specifically mentions it before beginning.",,1,,,,Hard,Air,"A forked stick (usually of bird bone).
Cost to create: 60 energy and a $200 onyx."
Create Air,Area,"Manufactures air where none exists. When cast where there is already air, it produces an outward breeze lasting about five seconds. When cast in a vacuum, it instantly creates breathable air. When cast within earth, stone, or other material, it fills any empty spaces with air, but does not burst the stone. When cast underwater, it makes bubbles! When cast on a one-yard-radius area, the spell creates about 45 cubic feet of air every second for five seconds; each cubic foot of air will last a single person at rest about a minute. However, in some environments the air created will rapidly dissipate into vacuum or bubble away. This spell cannot be cast inside a living being.","Breeze, bubbles, etc. last 5 seconds. Air created is permanent.",1,,,Purify Air or Seek Air,Hard,Air,"Staff, wand, or jewelry.
Energy cost to create: 200."
No-Smell,Regular,Removes the subject’s odor and makes it (or him) totally undetectable by smell. Any possessions are also affected. This spell changes no other properties of the subject.,1 hour,2,2,,Purify Air,Hard,Air,"Jewelry; only affects the wearer.
Cost to create: 150 energy and $300."
Stench,Area,"Modifies the current outdoor wind conditions. Each application of the spell can shift the wind direction by 22.5 degrees (from W to WSW, for example), or change wind speed by one level on the Beaufort Scale (see below). To achieve combined direction/speed changes, or more extreme changes in one or the other, increase cost proportionately.

The spell may be cast on an area, affecting the wind moving over it from the ground to an altitude of about 300 feet. It can also be cast on an object, such as a sailing ship, which it must then encompass in its entirety. The area of effect then moves with the object.


The Beaufort Scale
Beaufort Degree        Description              Wind Speed (mph)          Average Wave Height at Sea (feet)        Notes
0                              Calm                        -                                       0
1                              Light Air                   1-3                                   0
2                              Light Breeze            4-7                                   0-1
3                              Gentle Breeze         8-12                                 1-2                                                              Breaking crests
4                              Moderate Breeze        13-18                               2-4                                                           Some foam
5                              Fresh Breeze          19-24                                 4-8
6                              Strong Breeze         25-31                               8-13                                                          Some spray
7                              Moderate Gale        32-38                               13-20                                                       Some spindrift
8                              Fresh Gale              39-46                               13-20
9                              Strong Gale             47-54                                  13-20                                                       Sea begins to roll
10                              Whole Gale             55-63                                   20-30                                                       Visibility affected
11                              Storm                      64-72                               30-45
12                              Hurricane                73-82                               45
13                              Hurricane                83-92
14                              Hurricane                 93-103
15                              Hurricane                104-114
16                              Hurricane                115-125
17                              Hurricane                126+
","5 minutes, except in windy areas.",1,,,Purify Air,Hard,Air,"Staff, wand, or jewelry.
Energy cost to create: 60."
Destroy Air,Area,"Destroy all air within a designated area of effect. This can create a vacuum within a very strong vessel, but in open air it just causes a momentary thunderclap as surrounding air rushes in. This effect does 1d-2 damage to anyone in the area of effect who fails a HT roll. Any beings with the Body of Air meta-trait (p. B262) take 2d damage. In certain situations (e.g., in an airtight room) this spell can be much deadlier, leaving no air to breathe.","Lasts only an instant, but destroyed air stays gone.",2,,,Create Air,Hard,Air,
Odor,Area,"Produces any odor the caster is familiar with. The odor lingers for about an hour, gradually diminishing (outdoors it spreads out and quickly dissipates). The spell produces no other physical effects – for instance, the odor of a poison is not poisonous.",1 hour,1,,,No-Smell,Hard,Air,"Jewelry that constantly surrounds the wearer with one scent (set at time of casting).
Energy cost to create: 40."
Shape Air,Regular,"Create movements of air over a small area. The caster must choose a starting point (calculate distance penalties from that point). The wind starts there and blows in a stream one yard wide, for a distance in yards equal to 5 times the energy put into the spell, and then dissipates. This may cause knockback (see Knockback, p. B378) on someone it hits; each second, roll 1d per full 2 points of energy in the spell. Treat this as damage for knockback purposes only (this spell does not cause injury).",1 minute,1 to 10. 1 produces a gentle breeze; 4 a wind; 6 a heavy wind; 8 or more a violent blast.,Same,,Create Air,Hard,Air,"Staff, wand, or jewelry.
Energy cost to create: 200."
Air Jet,Regular,"Shoot a thin jet of air from one finger. Each turn, the caster rolls versus DX-4 or Innate Attack skill to hit. This attack may be dodged or blocked, but not parried. The jet does 2d knockback damage for every point of energy put into the spell, and has a range in yards equal to the number of dice in the attack. The jet does injury damage to vaporous beings or swarms. It is also good for sweeping the floor.",1 second,1 to 3,Same,,Shape Air,Hard,Air,"Staff, wand, or jewelry. Usable only by mages; if the item is a staff or wand, the air jet comes from its tip.
Energy cost to create: 200."
Air Vision,Regular,"See clearly through smoke, fog, dust, sand, etc., eliminating any Vision penalties caused by the condition of the air around him.",1 minute,1 per mile to cast.,Half,,Shape Air,Hard,"Air, Knowledge",Any. Energy cost to create: 200.
